"nest","sampleid","latitude","longitude","nw","nq","efq","nm","efm","mpc","rqq","rqm","nf","nfp","CruF4","CruF4.1","CruE6","CruE6.1","CruB3","CruB3.1","CggF9","CggF9.1","CggA4_A5_B3","CggA4_A5_B3.1","CggC3_E6","CggC3_E6.1","CruE8","CruE8.1","CruG1","CruG1.1","CruC2t7","CruC2t7.1","CruG4","CruG4.1","CggD11","CggD11.1","CruB8","CruB8.1","CggD10","CggD10.1","CruH4","CruH4.1","CggC11","CggC11.1","CggG9","CggG9.1","CruF11","CruF11.1","PHt","Hs_obs","Hs_exp","IR","HL","agr","cer","cers","cult","wtr","urb","road","cert"
"G12","G1201",7536135,275033,20,2,1.11,2,1.11687865245789,1.05843932622895,-0.12,0.22,19,0.95,151,159,227,227,168,170,222,228,191,195,256,262,204,204,188,190,276,276,218,220,150,150,246,248,204,204,233,235,228,228,238,246,244,248,0.647058823529412,1.20547945205479,1.0526630581058,-0.00284900284900301,0.321211758724842,0,1,0,0,0,0,0,1
"G12","G1202",7536135,275033,20,2,1.11,1,1,1.05843932622895,-0.12,0.22,1,0.05,149,161,219,221,168,170,222,228,189,189,260,260,204,204,188,190,280,280,206,206,150,150,246,248,208,208,233,235,228,228,242,248,250,256,0.529411764705882,0.986301369863014,0.86126977481384,0.124087591240876,0.408235892221657,0,1,0,0,0,0,0,1
"G15","G1501",7535901,273943,20,2,2.08,1,1,1,0.39,0,9,0.45,153,153,227,227,168,170,228,232,189,189,260,260,214,226,188,190,264,272,206,220,150,150,248,248,204,206,233,233,228,238,246,252,228,230,0.588235294117647,1.0958904109589,0.956966416459822,0.0626830697129465,0.353838332486019,0,0.76,0,0,0,0,0.24,0.76
"G15","G1502",7535901,273943,20,2,2.08,1,1,1,0.39,0,11,0.55,159,161,227,227,168,172,228,228,189,189,260,260,210,210,188,190,276,276,206,220,150,150,236,248,204,206,233,233,238,240,230,246,252,260,0.529411764705882,0.986301369863014,0.86126977481384,0.208356239692138,0.437064505517509,0,0.76,0,0,0,0,0.24,0.76
"G16","G1601",7533931,278711,20,2,2.1,1,1,1.13779527559055,-0.11,0.05,10,0.5,149,149,227,229,168,170,222,222,187,193,260,260,214,236,188,188,274,278,206,222,150,154,246,262,204,208,235,241,228,228,244,252,230,248,0.705882352941177,1.31506849315069,1.14835969975179,-0.0756302521008405,0.236520230868148,0,0.06,0,0,0,0,0.94,0.06
"G16","G1602",7533931,278711,20,2,2.1,2,1.2755905511811,1.13779527559055,-0.11,0.05,9,0.45,151,153,227,229,168,170,222,222,189,189,260,260,220,220,188,196,274,276,218,220,152,152,244,248,204,206,237,237,228,228,246,248,226,252,0.588235294117647,1.0958904109589,0.956966416459822,0.112097669256382,0.336433505786656,0,0.06,0,0,0,0,0.94,0.06
"G18","G1801",7533763,278277,20,2,1.36,1,1,2,0.52,0.25,17,0.85,159,159,219,227,168,170,222,228,189,189,260,260,204,212,188,190,272,276,206,218,150,150,246,248,208,208,233,237,228,238,244,258,234,248,0.705882352941177,1.31506849315069,1.14835969975179,-0.174311926605505,0.22811686952361,0,0,1,0,0,0,0,1
"G18","G1802",7533763,278277,20,2,1.36,3,3,2,0.52,0.25,3,0.15,155,159,219,219,170,172,222,228,189,189,260,260,210,212,190,190,272,276,206,206,150,150,240,246,204,208,235,237,228,238,246,258,234,248,0.647058823529412,1.20547945205479,1.0526630581058,0.0233074361820198,0.26322557492748,0,0,1,0,0,0,0,1
"G23","G2301",7537214,278305,14,2,1.56,1,1,1,0.09,0.22,11,0.785714285714286,157,157,227,227,168,169,224,228,189,189,260,260,204,246,190,190,278,278,218,218,150,150,246,246,208,208,233,233,228,228,242,246,250,254,0.294117647058824,0.547945205479452,0.478483208229911,0.489144316730523,0.631866981668112,0,1,0,0,0,0,0,1
"G23","G2302",7537214,278305,14,2,1.56,1,1,1,0.09,0.22,3,0.214285714285714,151,153,219,221,166,170,228,232,189,189,260,260,236,236,188,188,264,274,218,218,150,150,236,246,208,208,233,241,228,228,248,254,230,230,0.470588235294118,0.876712328767123,0.765573133167858,0.232613908872902,0.456742127455965,0,1,0,0,0,0,0,1
"G24","G2401",7537989,275804,11,4,4.66,2,1.71428571428571,1.67857142857143,0.03,0.1,4,0.363636363636364,149,169,219,227,168,170,228,232,189,193,260,262,222,250,188,188,274,278,218,222,150,150,246,246,204,208,237,237,228,228,240,240,238,252,0.647058823529412,1.20547945205479,1.0526630581058,-0.0238510762070974,0.309728161727324,0,0.68,0.32,0,0,0,0,1
"G24","G2402",7537989,275804,11,4,4.66,3,3,1.67857142857143,0.03,0.1,3,0.272727272727273,151,153,219,227,170,170,224,232,187,189,260,260,204,222,188,190,274,276,218,218,150,152,246,246,204,208,237,237,228,228,242,258,230,236,0.647058823529412,1.20547945205479,1.0526630581058,-0.0660205935796488,0.303328448817249,0,0.68,0.32,0,0,0,0,1
"G24","G2403",7537989,275804,11,4,4.66,2,1,1.67857142857143,0.03,0.1,2,0.181818181818182,155,169,227,227,168,170,224,228,191,193,260,262,204,236,188,188,274,278,218,220,150,150,246,248,204,208,235,235,222,226,238,258,230,262,0.764705882352941,1.42465753424658,1.24405634139777,-0.127371273712737,0.189987738867789,0,0.68,0.32,0,0,0,0,1
"G24","G2404",7537989,275804,11,4,4.66,1,1,1.67857142857143,0.03,0.1,2,0.181818181818182,153,167,227,227,168,170,228,228,189,191,260,276,204,236,188,190,270,276,220,226,150,150,242,246,208,208,237,241,228,228,242,264,234,236,0.705882352941177,1.31506849315069,1.14835969975179,-0.107266435986159,0.231107389575047,0,0.68,0.32,0,0,0,0,1
